web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659739703-2820","https://www.zillow.com/rodanthe-nc/for-sale/","24196 Dean Avenue UNIT 1, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24196-Dean-Ave-1-Rodanthe-NC-27968/2062161908_zpid/","Built in 2003","No data","Property detailsParkingTotal spaces: 4Parking features: Dirt, Gravel, Attached, Attached CarportGarage spaces: 2Covered spaces: 4Carport spaces: 2PropertyLevels: OneStories: 1Private pool: YesPool features: In GroundSpa included: YesSpa features: HeatedExterior features: Gas Grill, Gas Logs, Outdoor ShowerPatio and porch details: DeckView description: WaterWaterview: WaterLiving area range: 1400 - 1599 Square FeetLotLot size dimensions: 62'x167'x60'c167'Other property informationParcel number: 065805072614Zoning description: resSpecial conditions: StandardOther equipment: No Fuel Tank","4","2","1,456","24196 Dean Avenue UNIT 1, Rodanthe, NC 27968","$599,000","$599,000","",""
"1659740518-2963","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739978-2886","https://www.zillow.com/avon-nc/for-sale/","42158 Askins Creek Dr LOT 51, Avon, NC 27915","https://www.zillow.com/homedetails/42158-Askins-Creek-Dr-LOT-51-Avon-NC-27915/2083680183_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Askins Creek Sec 2 & 3","0","null","null","42158 Askins Creek Dr LOT 51, Avon, NC 27915","$199,000","$199,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739772-2834","https://www.zillow.com/frisco-nc/for-sale/","0 Basnett Landing Rd PARCEL 1A, Frisco, NC 27936","https://www.zillow.com/homedetails/0-Basnett-Landing-Rd-PARCEL-1A-Frisco-NC-27936/2064560727_zpid/","No data","null","HOA and financial detailsHOAHas HOA: YesAmenities included: Sound AccessOther financial informationAnnual tax amount: $702","1","null","null","0 Basnett Landing Rd PARCEL 1A, Frisco, NC 27936","$250,000","$250,000","",""
"1659739649-2803","https://www.zillow.com/rodanthe-nc/for-sale/","23040 Cross Of Honor Way, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23040-Cross-Of-Honor-Way-Rodanthe-NC-27968/2062970124_zpid/","Built in 2022","0.39 Acres","Property detailsParkingParking features: CarportCarport: YesPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Fiberglass, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: SoundWaterfront features: Soundfront, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: SoundLotLot size: 0.39 AcresLot features: Adj to Park Serv./Preserv, Adj. To Common Area, LevelOther property informationZoning description: Res","8","9","4,248","23040 Cross Of Honor Way, Rodanthe, NC 27968","$1,900,000","$1,900,000","",""
"1659739862-2861","https://www.zillow.com/frisco-nc/for-sale/","53156 Sunset Stri, Frisco, NC 27936","https://www.zillow.com/homedetails/53156-Sunset-Stri-Frisco-NC-27936/2062161228_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $389","null","null","null","53156 Sunset Stri, Frisco, NC 27936","$215,000","$215,000","",""
"1659740518-2957","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740595-2990","https://www.zillow.com/hatteras-nc/for-sale/","58170 Hatteras Lndg LOT 13, Hatteras, NC 27943","https://www.zillow.com/homedetails/58170-Hatteras-Lndg-LOT-13-Hatteras-NC-27943/2062255397_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Harbor","0","null","null","58170 Hatteras Lndg LOT 13, Hatteras, NC 27943","$550,000","$550,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740681-3013","https://www.zillow.com/waves-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740105-2923","https://www.zillow.com/avon-nc/for-sale/","39237 Sandfiddler Ln, Avon, NC 27915","https://www.zillow.com/homedetails/39237-Sandfiddler-Ln-Avon-NC-27915/228618244_zpid/","Built in 1985","5,500 sqft","Property detailsPropertyPool features: NoneExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered Decks, Patio, Sun DeckWaterfront features: More than 5th row, Beach Access, Boardwalk to BeachLotLot size: 5,500 sqftLot features: Cul-De-SacOther property informationParcel number: 013583000Zoning description: res","3","3","1,920","39237 Sandfiddler Ln, Avon, NC 27915","$636,000","$636,000","",""
"1659740054-2909","https://www.zillow.com/avon-nc/for-sale/","41130 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41130-Ocean-View-Dr-Avon-NC-27915/228619190_zpid/","Built in 1994","0.37 Acres","Property detailsParkingParking features: Carport, Off Street, PavedCarport: YesPropertyPrivate pool: YesPool features: Association Pool, Heated, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Patio, Sun Deck, Roof Top DeckView description: Ocean, SoundWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.37 AcresLot size dimensions: 16000 sq. ftLot features: LevelOther property informationParcel number: 01482202401Zoning description: R-1","5","6","2,884","41130 Ocean View Dr, Avon, NC 27915","$899,000","$899,000","",""
"1659740048-2907","https://www.zillow.com/avon-nc/for-sale/","39347 Tarpon Dr, Avon, NC 27915","https://www.zillow.com/homedetails/39347-Tarpon-Dr-Avon-NC-27915/2063465685_zpid/","Built in 2022","6,000 sqft","Property detailsPropertyPool features: NoneView description: Canal, SoundWaterfront features: NoneHas waterview: YesWaterview: Canal,SoundLotLot size: 6,000 sqftLot features: LevelOther property informationZoning description: Res","3","2","1,812","39347 Tarpon Dr, Avon, NC 27915","$580,000","$580,000","",""
"1659740161-2937","https://www.zillow.com/buxton-nc/for-sale/","46037 S Tower Circle Rd LOT 5, Buxton, NC 27920","https://www.zillow.com/homedetails/46037-S-Tower-Circle-Rd-LOT-5-Buxton-NC-27920/2062104751_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: BuxtonSubdivision: Tower Beach Subdivision","8","null","null","46037 S Tower Circle Rd LOT 5, Buxton, NC 27920","$150,000","$150,000","",""
"1659740651-3008","https://www.zillow.com/hatteras-nc/for-sale/","57310 Eagle Pass Rd, Hatteras, NC 27943","https://www.zillow.com/homedetails/57310-Eagle-Pass-Rd-Hatteras-NC-27943/228620157_zpid/","Built in 1973","No data","Property detailsParkingParking features: PavedPropertyPrivate pool: YesPool features: Indoor, Private Pool, PrivateExterior features: Outdoor ShowerView description: Pond, Salt MarshWaterfront features: Pondfront, WaterfrontResidential vegetation: WoodedHas waterview: YesWaterview: Pond,Salt MarshOther property informationParcel number: 015712000Zoning description: res","4","2","1,255","57310 Eagle Pass Rd, Hatteras, NC 27943","$350,000","$350,000","",""
"1659740179-2941","https://www.zillow.com/buxton-nc/for-sale/","46017 S Tower Circle Rd, Buxton, NC 27920","https://www.zillow.com/homedetails/46017-S-Tower-Circle-Rd-Buxton-NC-27920/228621325_zpid/","Built in 1975","No data","Property detailsParkingParking features: Detached, Off Street, UndergroundHas garage: YesPropertyPool features: NoneView description: OceanWaterfront features: Semi-Oceanfront (2nd row)Has waterview: YesWaterview: OceanLotLot features: LevelOther property informationParcel number: 017252000Zoning description: R-3","4","2","1,527","46017 S Tower Circle Rd, Buxton, NC 27920","$499,000","$499,000","",""
"1659740141-2931","https://www.zillow.com/buxton-nc/for-sale/","46211 Diamond Shoals Dr LOT 13, Buxton, NC 27920","https://www.zillow.com/homedetails/46211-Diamond-Shoals-Dr-LOT-13-Buxton-NC-27920/2063055041_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: BuxtonSubdivision: Diamond Point Estates","1","null","null","46211 Diamond Shoals Dr LOT 13, Buxton, NC 27920","$145,000","$145,000","",""
"1659740591-2989","https://www.zillow.com/hatteras-nc/for-sale/","59051 Coast Guard Rd LOT 4, Hatteras, NC 27943","https://www.zillow.com/homedetails/59051-Coast-Guard-Rd-LOT-4-Hatteras-NC-27943/2084346635_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Lnding","0","null","null","59051 Coast Guard Rd LOT 4, Hatteras, NC 27943","$890,000","$890,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740626-3000","https://www.zillow.com/hatteras-nc/for-sale/","57217 Odens Ln, Hatteras, NC 27943","https://www.zillow.com/homedetails/57217-Odens-Ln-Hatteras-NC-27943/228620018_zpid/","Built in 1981","0.77 Acres","Property detailsParkingTotal spaces: 2Parking features: 2 Car, Attached, Off Street, Parking GarageGarage spaces: 2PropertyPool features: NoneExterior features: LightingPatio and porch details: Sun DeckView description: Creek/Stream, Salt MarshWaterfront features: Canal Front, Bulkheaded, WaterfrontHas waterview: YesWaterview: Creek/Stream,Salt MarshLotLot size: 0.77 AcresOther property informationParcel number: 015490000Zoning description: RES","3","2","2,406","57217 Odens Ln, Hatteras, NC 27943","$725,000","$725,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740518-2962","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739769-2833","https://www.zillow.com/frisco-nc/for-sale/","0 Cardinal St, Frisco, NC 27936","https://www.zillow.com/homedetails/0-Cardinal-St-Frisco-NC-27936/2091763119_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: None","4","null","null","0 Cardinal St, Frisco, NC 27936","$225,000","$225,000","",""
"1659739656-2805","https://www.zillow.com/rodanthe-nc/for-sale/","23000 Chicamacomico Ct LOT 26, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23000-Chicamacomico-Ct-LOT-26-Rodanthe-NC-27968/2071784900_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: RodantheSubdivision: Mirlo Beach","0","null","null","23000 Chicamacomico Ct LOT 26, Rodanthe, NC 27968","$225,000","$225,000","",""
"1659740604-2993","https://www.zillow.com/hatteras-nc/for-sale/","57214 Summerplace Dr, Hatteras, NC 27943","https://www.zillow.com/homedetails/57214-Summerplace-Dr-Hatteras-NC-27943/228620489_zpid/","Built in 2001","0.38 Acres","Property detailsParkingParking features: Carport, Off Street, PavedCarport: YesPropertyPrivate pool: YesPool features: Heated, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.38 AcresLot features: LevelOther property informationParcel number: 016066010Zoning description: Res","5","7","3,569","57214 Summerplace Dr, Hatteras, NC 27943","$1,699,000","$1,699,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739840-2854","https://www.zillow.com/frisco-nc/for-sale/","50147 Buccaneer Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/50147-Buccaneer-Dr-Frisco-NC-27936/228616941_zpid/","Built in 1985","8,000 sqft","Property detailsParkingTotal spaces: 2Parking features: 2 Car, Attached, Parking Garage, PavedGarage spaces: 2PropertyPool features: NonePatio and porch details: Covered Decks, Sun DeckView description: Salt Marsh, SoundWaterfront features: NoneHas waterview: YesWaterview: Salt Marsh,SoundLotLot size: 8,000 sqftLot features: LevelOther property informationParcel number: 011705000Zoning description: RES","3","2","1,855","50147 Buccaneer Dr, Frisco, NC 27936","$449,000","$449,000","",""
"1659740543-2974","https://www.zillow.com/hatteras-nc/for-sale/","58210 Liberator Way LOT J-8, Hatteras, NC 27943","https://www.zillow.com/homedetails/58210-Liberator-Way-LOT-J-8-Hatteras-NC-27943/2090487907_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Paquiac Pines","7","null","null","58210 Liberator Way LOT J-8, Hatteras, NC 27943","$199,000","$199,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740645-3006","https://www.zillow.com/hatteras-nc/for-sale/","58210 Sutton Pl, Hatteras, NC 27943","https://www.zillow.com/homedetails/58210-Sutton-Pl-Hatteras-NC-27943/228620350_zpid/","Built in 2006","8,000 sqft","Property detailsParkingParking features: Carport, Off Street, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Concrete, Custom, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Patio, Sun DeckView description: Ocean, SoundWaterfront features: More than 5th row, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 8,000 sqftLot size dimensions: 8000 sq ftLot features: LevelOther property informationParcel number: 015906000Zoning description: R2-AH","4","6","3,008","58210 Sutton Pl, Hatteras, NC 27943","$889,000","$889,000","",""
"1659739795-2841","https://www.zillow.com/frisco-nc/for-sale/","52090 Gondyke Way LOT 9, Frisco, NC 27936","https://www.zillow.com/homedetails/52090-Gondyke-Way-LOT-9-Frisco-NC-27936/2062266326_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: Rogues Retreat","0","null","null","52090 Gondyke Way LOT 9, Frisco, NC 27936","$119,000","$119,000","",""
"1659739721-2825","https://www.zillow.com/rodanthe-nc/for-sale/","23001 G A Kohler Ct, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23001-G-A-Kohler-Ct-Rodanthe-NC-27968/2062384023_zpid/","Built in 1992","4,500 sqft","Property detailsParkingParking features: No Garage, Off Street, UnpavedPropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 4,500 sqftLot features: Corner Lot, Cul-De-SacOther property informationZoning description: S-1","4","3","1,728","23001 G A Kohler Ct, Rodanthe, NC 27968","$519,000","$519,000","",""
"1659740662-3011","https://www.zillow.com/hatteras-nc/for-sale/","56189 Pamlico Dr, Hatteras, NC 27943","https://www.zillow.com/homedetails/56189-Pamlico-Dr-Hatteras-NC-27943/228620545_zpid/","Built in 1972","8,500 sqft","Property detailsParkingParking features: Attached, Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: LightingPatio and porch details: Patio, Sun DeckView description: Canal, Salt Marsh, SoundWaterfront features: Canal Front, Bulkheaded, Waterfront, Beach AccessHas waterview: YesWaterview: Canal,Salt Marsh,SoundLotLot size: 8,500 sqftLot size dimensions: 8500 sq ftLot features: LevelOther property informationParcel number: 016117000Zoning description: R2-H","2","2","1,232","56189 Pamlico Dr, Hatteras, NC 27943","$425,000","$425,000","",""
"1659740536-2972","https://www.zillow.com/hatteras-nc/for-sale/","58158 Hatteras Harbor Ct LOT 17, Hatteras, NC 27943","https://www.zillow.com/homedetails/58158-Hatteras-Harbor-Ct-LOT-17-Hatteras-NC-27943/2112348462_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Harbor","0","null","null","58158 Hatteras Harbor Ct LOT 17, Hatteras, NC 27943","$335,000","$335,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740564-2980","https://www.zillow.com/hatteras-nc/for-sale/","S Beach Ct LOT 11R, Hatteras, NC 27943","https://www.zillow.com/homedetails/S-Beach-Ct-LOT-11R-Hatteras-NC-27943/2075172191_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Live Oak Village","5","null","null","S Beach Ct LOT 11R, Hatteras, NC 27943","$135,000","$135,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739670-2810","https://www.zillow.com/rodanthe-nc/for-sale/","23946 State Highway 12, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23946-State-Highway-12-Rodanthe-NC-27968/2065396159_zpid/","Built in 2004","0.61 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Heated Salt, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: SoundWaterfront features: Soundfront, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: SoundLotLot size: 0.61 AcresLot features: LevelOther property informationZoning description: Res","5","6","3,711","23946 State Highway 12, Rodanthe, NC 27968","$1,500,000","$1,500,000","",""
"1659739852-2858","https://www.zillow.com/frisco-nc/for-sale/","50313 Spencer Ln, Buxton, NC 27920","https://www.zillow.com/homedetails/50313-Spencer-Ln-Buxton-NC-27920/2065426436_zpid/","Built in 1987","0.49 Acres","Property detailsParkingParking features: No Garage, Off Street, On Street, UnpavedPropertyPool features: NonePatio and porch details: Patio, Sun DeckView description: Park Serv/PreserveWaterfront features: NoneLotLot size: 0.49 AcresOther property informationZoning description: SED-1","3","3","1,596","50313 Spencer Ln, Buxton, NC 27920","$399,000","$399,000","",""
"1659740518-2945","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740518-2958","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740620-2998","https://www.zillow.com/hatteras-nc/for-sale/","58457 State Highway 12, Hatteras, NC 27943","https://www.zillow.com/homedetails/58457-State-Highway-12-Hatteras-NC-27943/86654315_zpid/","Built in 1963","$210 price/sqft","Property detailsParkingTotal spaces: 1Parking features: 1 Car, Detached, Off Street, UnpavedGarage spaces: 1PropertyPool features: NoneView description: Creek/Stream, Salt Marsh, SoundWaterfront features: NoneHas waterview: YesWaterview: Creek/Stream,Salt Marsh,SoundLotLot size: 0.49 AcresLot features: LevelOther property informationParcel number: 015704001Zoning description: RES","6","3","1,908","58457 State Highway 12, Hatteras, NC 27943","$400,000","$400,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739778-2836","https://www.zillow.com/frisco-nc/for-sale/","0 Timber Trl LOT 33, Frisco, NC 27936","https://www.zillow.com/homedetails/0-Timber-Trl-LOT-33-Frisco-NC-27936/2062231742_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: Indiantown Shrs","7","null","null","0 Timber Trl LOT 33, Frisco, NC 27936","$250,000","$250,000","",""
"1659740540-2973","https://www.zillow.com/hatteras-nc/for-sale/","58166 Hatteras Lndg #14, Hatteras, NC 27943","https://www.zillow.com/homedetails/58166-Hatteras-Lndg-14-Hatteras-NC-27943/2067831614_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Harbor","0","null","null","58166 Hatteras Lndg #14, Hatteras, NC 27943","$495,000","$495,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739943-2875","https://www.zillow.com/avon-nc/for-sale/","40012 N North End Rd LOT 2, Avon, NC 27915","https://www.zillow.com/homedetails/40012-N-North-End-Rd-LOT-2-Avon-NC-27915/2071986357_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: None","1","null","null","40012 N North End Rd LOT 2, Avon, NC 27915","$159,900","$159,900","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739972-2884","https://www.zillow.com/avon-nc/for-sale/","41175 Portside Dr LOT 1733, Avon, NC 27915","https://www.zillow.com/homedetails/41175-Portside-Dr-LOT-1733-Avon-NC-27915/2071486894_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Kinnakeet Shores","null","null","null","41175 Portside Dr LOT 1733, Avon, NC 27915","$179,000","$179,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739933-2872","https://www.zillow.com/avon-nc/for-sale/","null","null","","","","null","null","null","null","null","","Chevron Left","https://www.zillow.com/avon-nc/"
"1659739858-2860","https://www.zillow.com/frisco-nc/for-sale/","54225 Shoresurf Ln, Frisco, NC 27936","https://www.zillow.com/homedetails/54225-Shoresurf-Ln-Frisco-NC-27936/228619887_zpid/","Built in 1997","7,000 sqft","Property detailsParkingParking features: Off Street, PavedPropertyPool features: NoneExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Beach AccessHas waterview: YesWaterview: OceanLotLot size: 7,000 sqftLot features: LevelOther property informationParcel number: 015294000Zoning description: Res","4","3","2,152","54225 Shoresurf Ln, Frisco, NC 27936","$624,900","$624,900","",""
"1659740648-3007","https://www.zillow.com/hatteras-nc/for-sale/","0 Lighthouse Ct, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Lighthouse-Ct-Hatteras-NC-27943/2083401756_zpid/","Central, heat pump","$536 price/sqft","Property detailsParkingParking features: No Garage, Off Street, UndergroundHas garage: YesPropertyPool features: NonePatio and porch details: Sun DeckView description: OceanHas waterview: YesWaterview: OceanLotLot size: 3.00 AcresLot features: LevelOther property informationZoning description: RES","3","3","1,352","0 Lighthouse Ct, Hatteras, NC 27943","$725,000","$725,000","",""
"1659740614-2996","https://www.zillow.com/hatteras-nc/for-sale/","56743 State Highway 12, Hatteras, NC 27943","https://www.zillow.com/homedetails/56743-State-Highway-12-Hatteras-NC-27943/2062421965_zpid/","Built in 2022","No data","Property detailsParkingParking features: No Garage, PavedPropertyPrivate pool: YesPool features: Fiberglass, Heated, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivatePatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, WaterfrontHas waterview: YesWaterview: OceanLotLot features: Landscaped, Lawn SprinklersOther property informationZoning description: C2-H","1","12","4,998","56743 State Highway 12, Hatteras, NC 27943","$3,195,000","$3,195,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740018-2898","https://www.zillow.com/avon-nc/for-sale/","41347 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41347-Ocean-View-Dr-Avon-NC-27915/228619211_zpid/","Built in 1993","No data","Property detailsParkingParking features: No Garage, Off Street, PavedPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanOther property informationParcel number: 014822046Zoning description: R-1","5","5","3,700","41347 Ocean View Dr, Avon, NC 27915","$1,100,000","$1,100,000","",""
"1659740573-2983","https://www.zillow.com/hatteras-nc/for-sale/","0 Cedar Ave LOT 5, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Cedar-Ave-LOT-5-Hatteras-NC-27943/2078352752_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Estate","0","null","null","0 Cedar Ave LOT 5, Hatteras, NC 27943","$135,000","$135,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739792-2840","https://www.zillow.com/frisco-nc/for-sale/","54079 Tides Edge Ln, Frisco, NC 27936","https://www.zillow.com/homedetails/54079-Tides-Edge-Ln-Frisco-NC-27936/2064569076_zpid/","Built in 2000","0.34 Acres","Property detailsParkingParking features: No Garage, Paved, Off StreetPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Private Pool, PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Sun DeckView description: Ocean, Salt Marsh, SoundWaterfront features: Ocean Front, Beach FrontHas waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot size: 0.34 AcresLot features: LevelOther property informationZoning description: RES","8","6","4,038","54079 Tides Edge Ln, Frisco, NC 27936","$1,850,000","$1,850,000","",""
"1659740152-2935","https://www.zillow.com/buxton-nc/for-sale/","47095 Buxton Back Rd, Buxton, NC 27920","https://www.zillow.com/homedetails/47095-Buxton-Back-Rd-Buxton-NC-27920/228621170_zpid/","Built in 2001","3.20 Acres","Property detailsParkingTotal spaces: 2Parking features: 2 Car, DetachedGarage spaces: 2PropertyPool features: NonePatio and porch details: Covered Decks, Sun DeckView description: PondWaterfront features: NoneResidential vegetation: WoodedHas waterview: YesWaterview: PondLotLot size: 3.20 AcresLot features: Lawn SprinklersOther property informationParcel number: 017017000Zoning description: C-3","4","4","2,984","47095 Buxton Back Rd, Buxton, NC 27920","$2,990,000","$2,990,000","",""
"1659740051-2908","https://www.zillow.com/avon-nc/for-sale/","41147 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41147-Ocean-View-Dr-Avon-NC-27915/228619175_zpid/","Built in 2004","No data","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: Association Pool, Optional with Additional FeeSpa included: YesSpa features: PrivateView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot features: LevelOther property informationParcel number: 014822012Zoning description: R-1","6","7","4,050","41147 Ocean View Dr, Avon, NC 27915","$1,200,000","$1,200,000","",""
"1659740108-2924","https://www.zillow.com/avon-nc/for-sale/","39200 N Albacore Ln, Avon, NC 27915","https://www.zillow.com/homedetails/39200-N-Albacore-Ln-Avon-NC-27915/228618441_zpid/","Built in 2005","9,500 sqft","Property detailsParkingTotal spaces: 2Parking features: 2 Car, Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Concrete, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Storage, Dock, Dry EntryPatio and porch details: Covered Decks, Sun DeckFencing: FencedView description: Canal, SoundWaterfront features: Canal Front, Bulkheaded, WaterfrontHas waterview: YesWaterview: Canal,SoundLotLot size: 9,500 sqftLot features: LevelOther property informationParcel number: 013794000Zoning description: R-1","4","5","3,307","39200 N Albacore Ln, Avon, NC 27915","$899,000","$899,000","",""
"1659739869-2863","https://www.zillow.com/frisco-nc/for-sale/","52860 State Highway 12, Frisco, NC 27936","https://www.zillow.com/homedetails/52860-State-Highway-12-Frisco-NC-27936/228635344_zpid/","Built in 1966","0.32 Acres","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: NoneWaterfront features: NoneLotLot size: 0.32 AcresLot size dimensions: 14000Lot features: LevelOther property informationParcel number: 01505200001Zoning description: Res","2","1","1,296","52860 State Highway 12, Frisco, NC 27936","$250,000","$250,000","",""
"1659740579-2985","https://www.zillow.com/hatteras-nc/for-sale/","58154 Hatteras Harbor Ct LOT 18, Hatteras, NC 27943","https://www.zillow.com/homedetails/58154-Hatteras-Harbor-Ct-LOT-18-Hatteras-NC-27943/2099898764_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Harbor","0","null","null","58154 Hatteras Harbor Ct LOT 18, Hatteras, NC 27943","$435,000","$435,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740518-2965","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740518-2960","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739956-2879","https://www.zillow.com/avon-nc/for-sale/","41006 Latitude Ln LOT 1217, Avon, NC 27915","https://www.zillow.com/homedetails/41006-Latitude-Ln-LOT-1217-Avon-NC-27915/2064558119_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Kinnakeet Shores","0","null","null","41006 Latitude Ln LOT 1217, Avon, NC 27915","$175,000","$175,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
